Kanji	Reading	Meaning	Level	Year	Strokes	Examples	Etymology	Mnemonic	Images
膨	BŌ, fuku	swell, expand	L1	1980	16	膨大 [BŌDAI] - swelling; 膨満 [BŌMAN] - inflation (air/gas); 膨脹弁 [BŌCHŌBEN] - expansion valve		SAMURAI’S BODY SWELLS AFTER EATING STRANGE HAIRY BEANS	
謀	BŌ, MU, haka	plot, stratagem	L1	1981	16	陰謀 [INBŌ] - plot, intrigue; 謀反 [MUHON*] - insurrection; 謀略 [BŌRYAKU] - stratagem	Seal ; late graph ( Shuowen ). Has 言 118 ‘words; speak’, with 某 1973 (‘a certain…’) as phonetic with associated sense taken as i] ‘look for, try to find’, thus ‘look for the truth in someone’s words’ or ‘seek opinion’ (Mizukami, Katō), or ii] ‘read (someone’s mind)’, thus ‘plan’ (Ogawa). Later the graph acquired a negative connotation. MS1995:v2:1208-9; KJ1970:757; OT1968:939; AS2007:391.	PLOT DEPENDS UPON A CERTAIN WORD – GOOD STRATAGEM	images/Chapter7_img_1289.jpg
頬	hō, hoho, KYŌ	cheek	L1	1982	15	頬張る [hōbaru] - fill one’s cheeks; 頬紅 [hōbeni] - rouge; 頬骨 [hōbone] - cheekbone	Seal ; late graph ( Shuowen ); traditional 頰 (16 strokes). Has 頁 103 ‘head’ (here ‘face’), with 夾 ‘on both sides; put between’ (see Note below), giving ‘that which is on both sides of the face’, i.e. ‘cheek(s)’. Note: OBI form for 夾 shows two smaller people standing either side of big person with arms outstretched. Qiu gives original meaning as ‘on two sides’; extended to ‘put between, insert’ (later written 挟 1221, q.v). QX2000:187; SS1984:1100,189; OT1968:246; AS2007:300. Take as ‘man’ 夫 601 and 70 丷 as ‘away’.	MAN IS BIG-HEADED AND GETS AWAY WITH IT – WHAT CHEEK!	images/Chapter7_img_1290.jpg
朴	BOKU, hō	simple, artless, type of magnolia	L1	1983	6	純朴 [JUNBOKU] - simple, honest; 素朴 [SOBOKU] - plain, simple; 朴の木 [hō no ki] - type of magnolia	Seal ; late graph ( Shuowen ). Has 木 73 ‘tree, wood’, with 卜 96 (‘crack’, ‘divination’) as phonetic with associated sense ‘snap, break’, giving ‘tree bark’. It seems that another word having the same pronunciation in early Chinese meaning ‘as yet untouched/unworked natural tree wood’, once written 樸 (NJK), was sometimes written by substituting 朴 instead. Used in this way, 朴 acquired an extended sense from 樸 , i.e. ‘naïve, unsophisticated, artless’. TA1965:317-9; DJ2009:v2:463,467; GY2008:229-30.	MAGNOLIA WOOD SIMPLY CRACKS	images/Chapter7_img_1291.jpg
睦	BOKU, mutsu(	harmonious, friendly	L1	1984	13	親睦 [SHINBOKU] - friendship; 睦言 [mutsugoto] - lovers’ talk; 和睦 [WABOKU] - reconciliation	Seal ; late graph ( Shuowen ). Has 目 76 ‘eye’, with 坴 627 (CO; ‘earth mound’, ‘clods of earth’, see) as phonetic with associated sense taken as i] ‘follow’, giving ‘submissive gaze/look’ (Katō), or ii] ‘soften, moderate’, giving – in similar vein – ‘softened gaze’ (Ogawa). By extension, ‘harmonious, intimate’. KJ1970:45; OT1968:702; GY2008:1583.	GETTING CLODS OF EARTH IN THE EYE IS FRIENDLY!?	images/Chapter7_img_1292.jpg
僕	BOKU, shimobe	manservant, I/me	L1	1985	14	公僕 [KŌBOKU] - public servant; 奴僕 [DOBOKU] - manservant; 僕ら [BOKUra] - we / us		I AM A PERSON WITH AN ODD PROFESSION – MANSERVANT	
墨	BOKU, sumi	ink, inkstick	L1	1986	14	筆墨 [HITSUBOKU] - ‘pen and ink’; 白墨 [HAKUBOKU] - chalk; 墨絵 [sumiE] - ink drawing	Seal ; a late graph ( Shuowen ); traditional 墨 . Has 土 64 ‘soil, earth’, with 黒/黑 137 ‘black’ (originally, ‘soot, lampblack’) as semantic and phonetic, giving ‘ink cake (soot and soil as main ingredients)’. MS1995:v1:278-9; KJ1970:864; OT1968:224; GY2008:1816.	BLACK EARTH MAKES GOOD INK	images/Chapter7_img_1296.jpg
撲	BOKU	strike, beat	L1	1987	15	打撲 [DABOKU] - strike, blow; 相撲 [sumō*] - sumo; 撲殺 [BOKUSATSU] - beat to death	Seal ; a late graph ( Shuowen ). Consists of 手 / 扌 34 ‘hand’, combined with (CO; implement for striking or gouging) as phonetic, here serving as onomatopoeic for the sound of impact against the material concerned. The overall original meaning is ‘hit using the hand’, which was then generalized to ‘hit, strike, beat’. Note: regarding the irregular reading for sumo in the example words, the two graphs mean ‘mutual striking’. KJ1970:773; MS1995:v1:560-61; OT1968:430. As with 1985, we suggest taking as a variant of (= odd) 業 278 ‘profession’.	STRIKING WITH THE HAND IS AN ODD PROFESSION – EXCEPT SUMO	images/Chapter7_img_1297.jpg; images/Chapter7_img_1295.jpg
没	BOTSU, BOS	sink, disappear, die	L1	1988	7	沈没 [CHINBOTSU] - sinking; 日没 [NICHIBOTSU] - sunset; 没後 [BOTSUGO] - after death	Seal ; a late graph ( Shuowen ); traditional form: 沒 . Interpretations diverge. The seal form points to the original way of writing this graph as corresponding to 𠬸 . The top element in 𠬸 is an old form of 回 92 ‘go round’, with 又 2003 ‘hand’ beneath. This is interpreted in one view as ‘put hand into water and take something out’ (Gu, Ogawa [Ogawa takes to be water swirling round]); alternatively, taken as ‘try to pull out person drowning’ (Shirakawa). is a later (block script) variant of 𠬸 , and quite close in shape to 殳 as in the modern form 没 (see Note below). At the seal stage, 氵 / 水 42 ‘water’ was then added as a determinative, resulting in 沒 . Several commentators prefer to analyse 沒 differently, taking it as consisting of 氵 ‘water’ combined with as phonetic with associated sense ‘sink, disappear’, giving ‘sink down into whirlpool’ (Katō, Mizukami). The connotation ‘go round, whirlpool’ is supported by the seal form. If the interpretation ‘sink down into whirlpool’ is followed, ‘sink, die, not exist’ may be regarded as extended senses. Note: The right-hand element in the modern form is 殳 , normally a determinative meaning ‘strike (with weapon)’ (170), but in 没 this is instead a later, potentially confusing regularization in shape of with meaning as explained above. GY2008:501; OT1968:563; KJ1970:866; SK1984:441; MS1995:v2:738-9; SS1984:906. As a mnemonic we suggest taking 殳 as ‘strike’.	STRIKE WATER AND SINK, DISAPPEAR, AND DIE	images/Chapter7_img_1298.jpg; images/Chapter7_img_1299.jpg; images/Chapter7_img_1299.jpg; images/Chapter7_img_1299.jpg
勃	BOTSU	sudden, active	L1	1989	9	勃起 [BOKKI] - erection; 勃々 [BOTSUBOTSU] - energetic; 勃発 [BOPPATSU] - sudden outburst	Seal ; late graph ( Shuowen ). Has 力 78 ‘strength’, with 孛 (‘emergent buds; emit’; see Note below) as phonetic with associated sense ‘emerge suddenly’, thus ‘emerge vigorously’; by extension, ‘suddenly’. Note: 孛 has 子 27 ‘child’, with here as stylized equivalent of earlier 𣎵 (‘luxuriant vegetation’) as phonetic with associated sense ‘emit, put out’. GY2008:204; OT1968:127,267; KJ1970:475; TA1965:730; SS1984:807. Take as horned helmet.	CHILD WITH HORNED HELMET IS SUDDENLY STRONG AND ACTIVE	images/Chapter7_img_1300.jpg; images/Chapter7_img_1301.jpg; images/Chapter7_img_1302.jpg
堀	hori, KUTSU	moat, ditch, canal	L1	1990	11	外堀 [sotobori] - outer moat; 釣堀 [tsuribori] - fishing pond; 堀川 [horikawa] - canal	Seal ; late graph ( Shuowen ). Has 土 64 ‘earth, ground’, with 屈 1249 (‘crouch’) as phonetic with associated sense ‘hole, cave’, giving ‘dig hole in ground; hole, cave’. In Japanese, has acquired the narrower sense ‘moat, ditch’. OT1968:217; AS2007:337.	CROUCH IN EARTHEN MOAT	images/Chapter7_img_1303.jpg
奔	HON	run, bustle	L1	1991	8	奔走 [HONSŌ] - bustle; 奔放 [HONPŌ] - uninhibited; 出奔 [SHUPPON] - absconding		THIRTY BIG MEN RUNNING AND BUSTLING	
翻	HON, hirugae	flap, change	L1	1992	18	翻訳 [HON’YAKU] - translation; 翻意 [HON’I] - change of mind; 翻って [hirugaette] - on second thought	Seal ; late graph (later version of Shuowen ). Has 羽 82 ‘wings, plumage’, with 番 215 (‘turn, number; guard’) as phonetic with associated sense taken as i] ‘flap in a flat manner’, giving ‘bird flaps wings and flies’ (Shirakawa), or ii] ‘return’, here referring to a bird returning its wings repeatedly to the same point, similarly giving ‘move wings up and down and fly’ (Ogawa). By extension, ‘turn, change’. SS1984:808; OT1968:804.	WINGS FLAP, CHANGING IN TURN	images/Chapter7_img_1307.jpg
凡	BON, HAN, oyo	mediocre, dull, common, broadly	L1	1993	3	平凡 [HEIBON] - mediocrity; 凡戦 [BONSEN] - dull game; 凡人 [BONJIN] - ordinary person		IT’S COMMON FOR MEDIOCRE TABLES TO HAVE A SCRATCH	
盆	BON	tray, Bon festival	L1	1994	9	盆地 [BONCHI] - land basin; 盆踊り [BONodori] - Bon Dance; 盆景 [BONKEI] - tray landscape		I UNDERSTAND THIS DISH WILL BE ON TRAY IN BON FESTIVAL	
麻	MA, asa	hemp, flax	L1	1995	11	麻布 [asanuno] - hemp cloth; 麻薬 [MAYAKU] - narcotics, drugs; 麻綱 [asazuna] - hemp rope		‘FOREST’ OF HEMP AND FLAX GROWN IN BUILDING	
摩	MA, su	rub, scrape, graze	L1	1996	15	摩擦 [MASATSU] - friction; 摩天楼 [MATENRŌ] - skyscraper; 摩擦音 [MASATSUON] - fricative	Seal ; late graph ( Shuowen ); traditional 摩 . Has 手 34 ‘hand’, with / 麻 1995 (‘nettle-like flax-producing plant, flax’) taken in one view as phonetic with associated sense ‘make small’ (as abbreviation of NJK 靡 ‘divide up, make small’; see Note below), giving ‘rub with the hands and make small’ (Ogawa). Another view takes / 麻 ‘flax’ as both semantic and phonetic in function here, giving ‘open up flax-like plant material and put between the hands’ (to extract fibers) (Katō). The meaning of 摩 was later generalized to ‘rub, graze, scrape’. See 磨 1997 also. Note: 靡 consists of 麻 (originally written [see 麻 1995]) with 非 794 (‘not’) as phonetic with associated sense ‘open up’, to give ‘split open flax-like plant material and take out small fibers’; by extension, ‘small; scatter’, and also loan use for grammatical function word. OT1968:428,1162; KJ1970:868; WD1974:518-20.	HAND RUBS HEMP AND GETS A GRAZE	images/Chapter7_img_1312.jpg; images/596c.jpg; images/596c.jpg; images/596c.jpg
磨	MA, miga	polish, scour, rub	L2	1997	16	研磨 [KENMA] - grinding; 磨滅 [MAMETSU] - wear and tear; 靴磨き [kutsumigaki] - shoeshine	Seal ( ): . A late graph ( Shuowen ). Seal form has 石 47 ‘stone’, with 靡 (NJK, ‘split open; small; scatter’ [see 1996 Note]) as phonetic with associated sense ‘rub, grind’, giving ‘mill grindstone’. By extension, ‘grind, polish’. Although originally denoting use of a grindstone, this graph and 摩 1996 show a degree of interchangeability in meaning and use. Already in clerical script, the top element was commonly regularized in shape to 麻 1995 (‘hemp, flax’). DJ2009:v2:761; OT1968:715; SS1984:809; AS2007:389.	POLISH A STONE FOUND UNDER HEMP	images/597a.jpg; images/Chapter7_img_1313.jpg; images/596c.jpg
魔	MA	demon, devil	L1	1998	21	魔女 [MAJO] - witch, sorceress; 邪魔 [JAMA] - obstacle, in the way; 魔羅 [MARA (vulgar)] - demon, penis		HEMP CAN BE A DEVIL	
昧	MAI	dark, foolish	L1	1999	9	曖昧 [AIMAI] - vague; 愚昧 [GUMAI] - ignorant, stupid; 蒙昧 [MŌMAI] - unenlightened		IT IS DARK AND IS STILL NOT DAY	
埋	MAI, u[zu]	bury	L2	2000	10	埋葬 [MAISŌ] - burial; 埋め立て [umetate] - land reclamation; 埋もれ木 [umoregi] - fossil wood		VILLAGE BURIED IN EARTH	
膜	MAKU	membrane	L1	2001	14	鼓膜 [KOMAKU] - eardrum; 網膜 [MŌMAKU] - retina; 膜質 [MAKUSHITSU] - membranous	Seal ; a late graph ( Shuowen ). Consists of 月 209 ‘flesh, meat; body’, with 莫 (original way of writing 暮 982 ‘sunset’) as phonetic with associated sense ‘envelop’ (Shirakawa says ‘curtain, covering’), giving ‘that bodily component which envelops’, referring in this case not to skin itself but ‘membrane’. KJ1970:775; OT1968:826; SS1984:810. We suggest two mnemonics, one taking 莫 as ‘sunset’ (this time with only one sun, as originally) and the other by its elements. In the latter case, we suggest taking 大 as ‘big’ 56, 日 as ‘sun’ 66, and ‘grass’ 艹 53.	BIG FLESHY MEMBRANE COVERS SUNNY GRASS	images/Chapter7_img_1318.jpg
枕	makura, CHIN	pillow	L1	2002	8	枕元 [makuramoto] - bedside; 手枕 [temakura] - use arm for pillow; 仮枕 [karimakura] - a nap, doze	Seal ; late graph ( Shuowen ). Has 木 73 ‘wood, tree’, with 冘 (CO, originally picto-graph of person carrying heavy object; see 1729 Note) as phonetic with associated sense ‘sink into/onto’, giving ‘wooden artefact to sink head down onto’, i.e. ‘headrest, pillow’. While in the modern world we think of a pillow as something soft, in ancient China (and prewar Japan) hard materials such as wood and bamboo (and later porcelain) appear to have been the norm. TA1965:789-93; SS1984:609-10; MS1995:v1:112-13. As with 1729, we suggest taking 冘 as (heavy) man with crooked leg and broken arms.	MAN WITH CROOKED LEG AND BROKEN ARMS HAS WOODEN PILLOW	images/Chapter7_img_1319.jpg
又	mata	again	L1	2003	2	又は [mata wa] - or; 又と無い [mata to nai] - unique; 又貸し [matagashi] - sublease		SHOW ONE’S HAND AGAIN	
抹	MATSU	erase, rub, paint	L1	2004	8	抹殺 [MASSATSU] - erasure; 抹茶 [MATCHA] - powdered tea; 一抹 [ICHIMATSU] - a tinge		HAND TRIES TO ERASE TREETOP BY PAINTING OVER IT	
慢	MAN	lazy, rude, boastful	L1	2005	14	自慢 [JIMAN] - vanity; 怠慢 [TAIMAN] - neglect; 慢性 [MANSEI] - chronic	Seal ; late graph ( Shuowen ). Has 忄 164 ‘heart, feelings’, with 曼 (NJK, ‘lengthen by pulling by hand’; see Note below) as phonetic with associated sense ‘grow, extend, become loose’, giving ‘one’s feelings become loose/undisciplined’; hence, extended senses such as ‘lazy, rude, bragging’. Note: 曼 has 又 2003 ‘hand’, with 冒 1974 (‘headgear’) as phonetic with associated sense ‘grow, extend’. KJ1970:869; OT1968:386; MS1995:v1:632. Take 曼 as ‘hand’ 又 2003, ‘eye’ 罒 76 (sometimes rotated from 目 ), and ‘sun’ 日 66.	FEEL LAZY AS HAND SHADES EYES FROM SUN	images/Chapter7_img_1320.jpg
漫	MAN, sozo	random, diffuse involuntary	L1	2006	14	漫画 [MANGA] - manga (comics); 散漫 [SANMAN] - diffusion; 漫ろ言 [sozorogoto] - rambling words		HAND INVOLUNTARILY SHADES EYES FROM WATERING IN DIFFUSE SUN	
魅	MI	bewitch, charm	L1	2007	15	魅力 [MIRYOKU] - charm, appeal; 魅惑 [MIWAKU] - fascination; 魅了 [MIRYŌ] - charm	Seal ( 鬽 ) ; late graph ( Shuowen ). 鬽 is entry heading in Shuowen , but text lists 魅 as alternative form. For analysis of 鬽 , see Note below. 魅 has 鬼 1179 ‘supernatural being, demon’, with 未 617 (‘immature’) as phonetic with associated sense ‘not visible’, thus ‘spectral being, ghost’; by extension, ‘enchant, bewitch’. Note: 鬽 has 鬼 1179 ‘demon’, here likely in its original sense of ‘spirit of dead person, supernatural being’, with 彡 115 ‘decorative feathers/colors, embellishment’, here taken as ‘long hair’, to give ‘longhaired supernatural being’. The ancient Chinese historical work Zuo Zhuan chooses to define more specifically as a four-legged beast with human face. KJ1970:868; DJ2009:v2:738-9; OT1968:1140.	BEWITCHED BY CHARMING IMMATURE DEMON	images/Chapter7_img_1321.jpg
岬	misaki, saki, KŌ	promontory, cape	L1	2008	8	岬角 [KŌKAKU] - point, spit; 岬湾 [KŌWAN] - indentations; コッド岬 [KODDOmisaki] - Cape Cod		PROMONTORY HAS ‘A GRADE’ MOUNTAIN	
蜜	MITSU	honey, nectar	L1	2009	14	蜂蜜 [hachiMITSU] - honey; 蜜月 [MITSUGETSU] - honeymoon; 糖蜜 [TŌMITSU] - syrup	Seal ; traditional 𧖅 ; late graph ( Shuowen ). Entry heading in Shuowen has a more ornate form, comprising 60 ‘insect(s)’, with 鼏 (CO, ‘cauldron lid, wine container lid’) as phonetic with associated sense taken in one view as ‘saliva’, giving ‘insect saliva’, and hence ‘honey’(Katō) (which is produced by bees through a regurgitation process). Another treatment takes the associated sense as ‘delicious smell’, giving ‘insects’ delicious-smelling (food)’, i.e. ‘honey’ (Ogawa). The graph was later abbreviated to 蜜 by using 虫 ‘insect’ for , and changing the phonetic to 宓 (CO, ‘quiet house’) (same associated sense as above). DJ2009:v3:1101; KJ1970:807; GY2008:1762; OT1968:889; MS1995:v2:1144-5. Suggest elements as 宀 30 ‘roof/building/hive’, 必 597 ‘necessarily’, and 虫 60 ‘insect’.	BEES ARE INSECTS THAT NECESSARILY NEED HIVE TO MAKE HONEY	images/Chapter7_img_1322.jpg; images/275.jpg; images/275.jpg
妙	MYŌ	exquisite, strange	L1	2010	7	妙案 [MYŌAN] - great idea; 微妙 [BIMYŌ] - sublety; 奇妙 [KIMYŌ] - odd		FEW WOMEN ARE AS EXQUISITE, YET AS STRANGE	
眠	MIN, nemu	sleep, sleepy	L2	2011	10	睡眠 [SUIMIN] - sleep; 不眠症 [FUMINSHŌ] - insomnia; 居眠り [inemuri] - doze, nap	Seal ( 瞑 ) ; 眠 is a late variant. 瞑 consists of 目 76 ‘eye’, with 冥 2015 ‘dark’ as semantic and phonetic, giving ‘close eyes’ and by extension ‘sleep’. Later, 民 619 (‘populace, people’) was substituted as phonetic element ( Yupian [6 th century AD] notes 眠 as being the same as 瞑 ). GY2008:1038,1156; MS1995:v1:114-5; KJ1970:840; OT1968:102.	THE PEOPLE CLOSE THEIR EYES IN SLEEP	images/Chapter7_img_1323.jpg
矛	MU, BŌ, hoko	halberd, lance	L1	2012	5	矛先 [hokosaki] - main point (also fig.); 矛盾 [MUJUN] - contradiction; 矛げき [BŌGEKI] - halberd, spear		ANGULAR HALBERD HAS TWO POINTS AND A HANDGUARD	
霧	MU, kiri	mist, fog	L1	2013	19	霧笛 [MUTEKI] - foghorn; 濃霧 [NŌMU] - thick fog; 朝霧 [asagiri] - morning mist	Seal ( 霚 ) ; late graph; modern form 霧 . Seal form has 雨 ‘rain’ 3, with 敄 (CO, ‘effort’; originally ‘attack vigorously with halberd/lance’) as phonetic with associated sense ‘cover’, giving ‘water vapour which covers (an area)’, i.e. ‘fog’. At some point, the phonetic was changed from 敄 to 務 (‘[perform] duties’ 815; same associated sense). Katō treats 務 as erroneous; Kangxi zidian lists only 霧 , not 霚 . KJ1970:863; OT1968:1089; GY2008:969,1571; KZ2001:3073/3671.	PERFORM ONE’S DUTIES COME RAIN, MIST, OR FOG	images/Chapter7_img_1326.jpg
娘	musume, JŌ	young woman, daughter	L2	2014	10	小娘 [komusume] - young girl; 娘子軍 [JŌSHIGUN] - Amazons; 一人娘 [hitorimusume] - only daughter		DAUGHTER IS A GOOD YOUNG WOMAN – INDEED, A LADY	
冥	MEI, MYŌ	dark(/ness)	L1	2015	10	冥土 [MEIDO] - Hades, realm of dead; 冥王星 [MEIŌSEI] - Pluto (planet); 冥加 [MYŌGA] - divine protection		THE SUN HAS BEEN COVERED FOR SIX DAYS – SUCH DARKNESS!	
銘	MEI	inscribe, sign, name, quality	L1	2016	14	銘柄 [MEIgara] - brand; 墓銘 [BOMEI] - epitaph; 銘茶 [MEICHA] - quality tea		HAVE ONE’S NAME INSCRIBED IN METAL – GOOD QUALITY METAL	
滅	METSU, horo	destroy, perish	L1	2017	13	滅亡 [METSUBŌ] - destruction; 絶滅 [ZETSUMETSU] - extinction; 破滅 [HAMETSU] - destruction	Seal ; a late graph ( Shuowen ). Consists of 氵 / 水 42 ‘water’, combined with 烕 (CO; ‘flames die out’; see Note below) as phonetic with associated sense ‘run out, can no longer be seen’, giving ‘water runs out’; by extension, ‘perish, destroy’. Note: 烕 is comprised of 火 8 ‘fire’, with 戌 476 (CO; ‘type of battle-ax / halberd’) as phonetic with associated sense ‘run out, disappear’, giving ‘flames die out’. MS1995:v2:774-5,798-9; KJ1970:870; OT1968:602.	DESTROYED BY HALBERD, FIRE, AND WATER	images/Chapter7_img_1331.jpg
免	MEN, manuka	escape, avoid	L1	2018	8	免除 [MENJO] - exemption; 免税 [MENZEI] - tax-exempt; 放免 [HŌMEN] - acquittal		TWO ESCAPEES HIDING BEHIND TWO BOXES TO AVOID RECAPTURE	
麺	MEN	noodles, wheat, flour	L1	2019	16	麺類 [MENRUI] - noodles; 麺棒 [MENBŌ] - rolling pin; 製麺所 [SEIMENJO] - noodle factory	Seal ; a late graph ( Shuowen ); traditional 麪 . Consists of 麥 ‘wheat, barley’ (later 麦 213, q.v.), with 丏 (CO; original meaning uncertain: interpretations include ‘floating plant’ [Mizukami] and ‘corpse’ [Shirakawa]) as phonetic [associated sense unclear]). 麺 , now the standard form in Japanese, with 面 417 ‘face’ as phonetic, appears to be a late variant. OT1968:1161; SS1984:821,774; MS1995:v1:6-8.	ON THE FACE OF IT, NOODLES ARE MADE FROM WHEAT	images/Chapter7_img_1336.jpg
茂	MO, shige	grow thickly	L1	2020	8	繁茂 [HANMO] - thick growth; 茂林 [MORIN] - dense forest; 茂み [shigemi] - thicket	Seal ; late graph ( Shuowen ). Has 艹 53 ‘plants’, with 戊 (NJK, ‘[type of ] halberd/battle-ax’ 1591; see Note below) as phonetic with associated sense taken as i] ‘cover’, giving ‘plants cover’ (Tōdō, Ogawa), or ii] ‘luxuriant, abundant’, giving ‘luxuriant vegetation’ (Gu, Katō). Note: Mizukami also lists ‘(type of) plane’ as possible meaning for 戊 , which was originally a pictograph, though the OBI and bronze forms do suggest a weapon rather than a tool. TA1965:237-8; OT1968:850,392; GY2008:560; KJ1970:872; MS1995:v1:532-3.	PLANTS GROW THICKLY – HAVE TO CUT DOWN WITH HALBERD	images/Chapter7_img_1337.jpg
妄	MŌ, BŌ, mida	irrational, rash	L1	2021	6	妄想 [MŌSŌ] - delusion; 妄言 [BŌGEN] - harsh words; 迷妄 [MEIMŌ] - fallacy		IRRATIONAL AND RASH WOMAN DIES	
盲	MŌ, mekura	blind	L1	2022	8	盲目 [MŌMOKU] - blindness; 文盲 [MONMŌ] - illiteracy; 盲判 [mekuraBAN] - ‘rubber stamp’	Seal ; late graph ( Shuowen ). Has 目 76 ‘eye’, with 亡 985 (‘lose, die, disappear, not have’), taken in one view as semantic and phonetic, giving ‘blind’ (Ogawa). Alternatively, 亡 is regarded as phonetic in function with associated sense ‘hidden’, giving ‘hidden and not visible’, with ‘blind’ as an extended sense (Tōdō). OT1968:696; TA1965:445-7.	DEAD EYES ARE BLIND	images/Chapter7_img_1340.jpg
耗	MŌ	waste, decrease	L1	2023	10	消耗 [SHŌMŌ] - consumption; 損耗 [SONMŌ] - wastage, loss; 磨耗 [MAMŌ] - wear and tear	Seal ( 秏 ) ; a late graph ( Shuowen ). The seal form has 禾 87 ‘grain’ (generic), with 毛 230 (‘hair, fur’) as phonetic with associated sense taken in one view as ‘empty’, giving original meaning ‘grain missing, no grain’, and by extension ‘empty; run out, use up’ (Katō). Shuowen defines 秏 as ‘type of rice’, which is how the graph and underlying word may have been used around the time of compilation of Shuowen , but 禾 is originally a pictograph of a grain plant with the head leaning down, and is generally understood as ‘grain’ as a general term encompassing millet, wheat, and rice, not just rice alone; as above, Katō takes in the general sense. Another commentator treats 毛 here as semantic and phonetic meaning ‘small’, and considers it to denote ‘small grains of rice’ (sic; Ogawa). As for the change in shape to 耗 , with the determinative changed from 禾 ‘grain’ to 耒 ’plow’ (CO, 699), this appears to have been a change made at some point in block script. Kangxi zidian has entries for both 秏 and 耗 ; in the entry for the former, it is noted that ‘texts nowadays all use 耗 ’. KJ1970:172-3; OT1968:808; MS1995:v2:960-61,1054-5; SK1984:588; DJ2009:v2:565; ZY2009:v3:869,1000;. We suggest taking 耒 as multi-branched tree 木 73.	MULTIPLE BRANCHES ON TREE WASTE AWAY TO LOOK LIKE HAIRS	images/Chapter7_img_1341.jpg
猛	MŌ	fierce, raging, brave, strong	L1	2024	11	猛烈 [MŌRETSU] - fierceness; 猛獣 [MŌJŪ] - fierce animal; 猛者 [MOSA*] - a stalwart fellow	Seal ; late graph ( Shuowen ). Has 犭/犬 19 ‘dog’, with 孟 (‘first child; beginning’; see Note below) as phonetic with associated sense ‘vigorous, strong, violent’, giving ‘fierce/violent dog’. Meanings such as ‘brave’ are extended senses. Note: analyses of 孟 (NJK, ‘beginning’) differ. In one view, 孟 comprises 子 27 ‘child’, with 皿 300 ‘bowl, cover’ taken as phonetic with associated sense ‘first’, giving ‘first child’ (Mizukami). Alternatively, 皿 is taken as semantic meaning ‘cover’, giving ‘child emerges (from beneath cover)/grows’ (Tōdō). Another view takes 皿 semantically as a bowl for bathing, giving ‘newborn baby’s first bath’, and hence ‘first’. Schuessler says ‘eldest (of siblings); first’. OT1968:645; GY2008:1291; KJ1970:769; MS1995:v1:352-3; TA1965:449-54; AS2007:381.	FIERCE DOG GETS TO BOWL BEFORE BRAVE INFANT	images/Chapter7_img_1342.jpg
網	MŌ, ami	net, network	L1	2025	14	魚網 [GYOMŌ] - fishing net; 網戸 [amido] - screen door; 通信網 [TSŪSHINMŌ] - news network		DEAD HORNED CREATURE COVERED BY THREADED NET	
黙	MOKU, dama	be silent	L1	2026	15	黙殺 [MOKUSATSU] - give no reply; 沈黙 [CHINMOKU] - silence; 黙り込む [damarikomu] - fall silent	Seal ; late graph ( Shuowen ); traditional form: 默 . Has 犬 19 ‘dog’, with 黑 (traditional form of 黒 137 ‘black’) as phonetic with associated sense ‘nothing, silent’, thus ‘dog which is quiet’; by extension, ‘silent’. KJ1970:864-5; OT1968:647; TA1965:165; GY2008:1885-6.	BLACK DOG IS SILENT	images/Chapter7_img_1348.jpg
紋	MON	crest, pattern	L1	2027	10	紋章 [MONSHŌ] - heraldic crest; 指紋 [SHIMON] - fingerprint; 波紋 [HAMON] - ripple	A late, post- Shuowen graph. Originally written just as 文 72 (original meaning ‘pattern’; now ‘writing, text’). 文 was used increasingly to mean ‘writing’, and when the meaning ‘pattern’ was intended this was indicated by adding 糸 29 ‘thread’ as determinative to give 紋 . In Japanese, 紋 is now typically ‘crest’. OT1968:771; SS1984:825; KJ1970:220.	THREADS IN CREST FORM PATTERN LIKE WRITING	
冶	YA	smelt, melt	L1	2028	7	冶金 [YAKIN] - metallurgy; 陶冶 [TŌYA] - training; 鍛冶屋 [kajiya*] - blacksmith	Bronze ; seal . Seal form consists of 冫 401 ‘ice’, with 台 (‘I, me’; see Note below) as phonetic with associated sense taken in one approach either as i] ‘grow slack, relax’, or ii] ‘modify’. Either way, the resultant meaning is ‘smelt metal’ (in the case of i], by extension, and in ii] by indirect extension on the basis ‘modify metal in the same way as melting ice’). Another interpretation, though, takes the right-hand element in one of the bronze occurrences as a shape representing not ‘ice’ but ‘fire’. This commentator (Gu) still recognises 冫 ‘ice’ as the determinative in the seal form, explaining this as being by analogy (melting of ice and smelting metal both resulting in liquid states). Note: On the basis of sound values and older forms (bronze and seal) the phonetic element 台 in 冶 is to be taken not as 台 183 ‘stand, platform’ (traditional form: 臺 ), but a different graph of the same shape meaning ‘(say) I, me’. The latter consists of 口 22 ‘mouth; speak’, with 厶 (interpretations vary, but include ‘make one’s own’, or ‘plow’) as phonetic with associated sense ‘I, me’. MS1995:v1:116-8,204-5,188-90; OT1968:103; GY2008:487. For mnemonic purposes only, we suggest taking here 台 as ‘platform’, or alternatively ム as nose and 口 as mouth 22.	A PLATFORM MADE OF ICE CAN EASILY MELT	images/Chapter7_img_1349.jpg; images/Chapter7_img_1350.jpg
